complaint_text,category,subcategory,,,,
"“We are unable to contact a passenger after they boarded the train, and they are missing.”",Security,Passenger missing/not responding to calls,,,,
“A family member is not responding to any of our calls after getting on the train.”,Security,Passenger missing/not responding to calls,,,,
"“A passenger who boarded earlier is not answering calls, and they seem to be missing.”",Security,Passenger missing/not responding to calls,,,,
“We are trying to reach a missing passenger who isn’t responding to phone calls.”,Security,Passenger missing/not responding to calls,,,,
“A friend who boarded the train is missing and unresponsive to our calls.”,Security,Passenger missing/not responding to calls,,,,
"“We are unable to get in touch with a passenger, and they have gone missing.”",Security,Passenger missing/not responding to calls,,,,
"“A traveler in our group is not responding to calls, and we are unable to find them.”",Security,Passenger missing/not responding to calls,,,,
“My family member is not answering their phone after boarding the train.”,Security,Passenger missing/not responding to calls,,,,
“A passenger is missing and hasn’t been responding to calls for several hours.”,Security,Passenger missing/not responding to calls,,,,
"“My friend boarded the train, but now they are missing, and we cannot contact them.”",Security,Passenger missing/not responding to calls,,,,
“We are unable to reach a passenger who has not been responding to calls.”,Security,Passenger missing/not responding to calls,,,,
"“A passenger is missing after getting on the train, and none of our calls are going through.”",Security,Passenger missing/not responding to calls,,,,
“My family member is not responding to calls after they got on the train.”,Security,Passenger missing/not responding to calls,,,,
“We are trying to contact a passenger who is missing and not answering their phone.”,Security,Passenger missing/not responding to calls,,,,
"“A passenger was supposed to meet us, but now they are missing and unresponsive.”",Security,Passenger missing/not responding to calls,,,,
"“My friend boarded the train, but they’re missing and not answering calls.”",Security,Passenger missing/not responding to calls,,,,
“We are unable to get in touch with a missing passenger who is not answering calls.”,Security,Passenger missing/not responding to calls,,,,
“A traveler in our group is missing and hasn’t responded to phone calls.”,Security,Passenger missing/not responding to calls,,,,
"“My family member is not answering any calls after boarding the train, and we are worried.”",Security,Passenger missing/not responding to calls,,,,
“A passenger has gone missing from the train and is not answering any calls.”,Security,Passenger missing/not responding to calls,,,,
"“We are trying to reach a missing passenger, but they are not picking up the phone.”",Security,Passenger missing/not responding to calls,,,,
“A passenger is missing and isn’t answering any calls after getting on the train.”,Security,Passenger missing/not responding to calls,,,,
"“My friend is missing, and they are not answering any phone calls.”",Security,Passenger missing/not responding to calls,,,,
“We are unable to contact a passenger who boarded earlier; they are unresponsive.”,Security,Passenger missing/not responding to calls,,,,
“A passenger in our group is missing and hasn’t responded to any of our calls.”,Security,Passenger missing/not responding to calls,,,,
"“My family member is missing after boarding the train, and they’re not answering calls.”",Security,Passenger missing/not responding to calls,,,,
“We are unable to contact a passenger who has gone missing and is not answering the phone.”,Security,Passenger missing/not responding to calls,,,,
"“A traveler is missing, and they haven’t answered any calls since boarding.”",Security,Passenger missing/not responding to calls,,,,
"“My friend is not responding to any calls after getting on the train, and we are concerned.”",Security,Passenger missing/not responding to calls,,,,
“A passenger is missing and hasn’t responded to any calls since they boarded.”,Security,Passenger missing/not responding to calls,,,,
“We are trying to locate a passenger who is missing and not answering their phone.”,Security,Passenger missing/not responding to calls,,,,
"“My family member is missing, and they haven’t answered any calls after boarding.”",Security,Passenger missing/not responding to calls,,,,
“A passenger who boarded earlier is missing and not responding to calls.”,Security,Passenger missing/not responding to calls,,,,
"“We are trying to contact a missing passenger, but they aren’t answering their phone.”",Security,Passenger missing/not responding to calls,,,,
“My friend is missing after getting on the train and is not answering calls.”,Security,Passenger missing/not responding to calls,,,,
“A passenger is missing and hasn’t answered any calls since they boarded.”,Security,Passenger missing/not responding to calls,,,,
“We are unable to contact a missing passenger who is unresponsive to calls.”,Security,Passenger missing/not responding to calls,,,,
“A family member is missing and not answering any of our calls.”,Security,Passenger missing/not responding to calls,,,,
"“We are trying to reach a passenger who boarded the train, but they are not answering.”",Security,Passenger missing/not responding to calls,,,,
“A passenger is missing and hasn’t responded to any phone calls.”,Security,Passenger missing/not responding to calls,,,,
"“My friend is not answering calls after boarding the train, and we are worried.”",Security,Passenger missing/not responding to calls,,,,
“We are unable to contact a missing passenger who isn’t responding to phone calls.”,Security,Passenger missing/not responding to calls,,,,
“A family member is missing and hasn’t responded to any calls since boarding.”,Security,Passenger missing/not responding to calls,,,,
"“A passenger who got on the train is not answering calls, and they are missing.”",Security,Passenger missing/not responding to calls,,,,
"“My family member is missing, and they’re not answering any phone calls.”",Security,Passenger missing/not responding to calls,,,,
“A traveler from our group is missing and isn’t responding to calls.”,Security,Passenger missing/not responding to calls,,,,
“We are unable to contact a missing passenger who is not answering the phone.”,Security,Passenger missing/not responding to calls,,,,
"“My friend is missing, and they’re not answering any calls after boarding the train.”",Security,Passenger missing/not responding to calls,,,,
“A passenger who boarded earlier is missing and not responding to any calls.”,Security,Passenger missing/not responding to calls,,,,
"“We are trying to contact a passenger who is missing, but they’re not picking up the phone.”",Security,Passenger missing/not responding to calls,,,,
“A passenger is missing after boarding the train and isn’t answering any calls.”,Security,Passenger missing/not responding to calls,,,,
“My family member is not responding to any calls after getting on the train.”,Security,Passenger missing/not responding to calls,,,,
"“We are trying to reach a missing passenger, but they are not answering calls.”",Security,Passenger missing/not responding to calls,,,,
“A passenger in our group is missing and hasn’t answered any calls since boarding.”,Security,Passenger missing/not responding to calls,,,,
"“My friend is missing, and they are not answering any phone calls.”",Security,Passenger missing/not responding to calls,,,,
“We are unable to contact a passenger who is missing and not answering the phone.”,Security,Passenger missing/not responding to calls,,,,
“A traveler is missing after boarding the train and hasn’t answered any calls.”,Security,Passenger missing/not responding to calls,,,,
"“My family member is missing, and they haven’t responded to any calls since getting on the train.”",Security,Passenger missing/not responding to calls,,,,
“We are unable to contact a missing passenger who is unresponsive to phone calls.”,Security,Passenger missing/not responding to calls,,,,
"“A passenger is missing after getting on the train, and they haven’t answered any calls.”",Security,Passenger missing/not responding to calls,,,,
“My friend is missing and is not responding to phone calls after boarding.”,Security,Passenger missing/not responding to calls,,,,
“We are trying to contact a passenger who is missing and not answering any calls.”,Security,Passenger missing/not responding to calls,,,,
“A passenger has gone missing and isn’t answering any phone calls.”,Security,Passenger missing/not responding to calls,,,,
“My family member boarded the train but is missing and not answering calls.”,Security,Passenger missing/not responding to calls,,,,
“A passenger in our group is missing and hasn’t responded to any of our calls.”,Security,Passenger missing/not responding to calls,,,,
“We are unable to contact a missing passenger who isn’t answering their phone.”,Security,Passenger missing/not responding to calls,,,,
"“A family member is missing, and they are not answering any calls after boarding.”",Security,Passenger missing/not responding to calls,,,,
"“My friend is missing after boarding, and none of our calls are being answered.”",Security,Passenger missing/not responding to calls,,,,
“We are trying to locate a passenger who is missing and not answering any calls.”,Security,Passenger missing/not responding to calls,,,,
"“A passenger who boarded earlier is missing, and they haven’t answered any calls.”",Security,Passenger missing/not responding to calls,,,,
"“We are trying to contact a missing passenger, but they are unresponsive.”",Security,Passenger missing/not responding to calls,,,,
"“My family member is missing after getting on the train, and none of our calls are being answered.”",Security,Passenger missing/not responding to calls,,,,
